# Hand-assigned combat ratings. This file is the `rated` layer and nothing else.
# Quality, pools, type and stat deltas are NOT here on purpose — those are the
# `scraped` layer and come from items.xml / itempools.xml via tools/scrape.mjs.
#
# Format: id|name|offense|aoe|tracking|defense|evasion|tags|note
# Ranges: offense 0.5-3.0 | aoe 0.5-3.0 | tracking 0-1 | defense 0.8-2.5 | evasion 0-1
# Neutral item is 1.0|1.0|0.0|1.0|0.0. Sad Onion (1.22 offense) is the anchor.

# --- Tear replacements and the top of the damage ladder -----------------------
COLLECTIBLE_BRIMSTONE|Brimstone|2.40|1.60|0.30|1.00|0.00|laser,piercing,charged,replaces_tears|Charged laser. Enormous single-target, wasted shots on blink.
COLLECTIBLE_MOMS_KNIFE|Mom's Knife|2.30|0.75|0.55|1.00|0.00|knife,piercing,charged,replaces_tears|Devastating single-target, poor against swarms. Beast-unfriendly.
COLLECTIBLE_TECH_X|Tech X|1.90|1.65|0.35|1.00|0.00|laser,piercing,charged|Charged ring. Covers space and pierces, scales hard with damage.
COLLECTIBLE_DR_FETUS|Dr. Fetus|1.85|2.10|0.20|0.90|0.00|explosive,replaces_tears|Room-clearing blast damage at the cost of blowing yourself up.
COLLECTIBLE_IPECAC|Ipecac|1.70|2.20|0.15|0.85|0.00|explosive,dot,replaces_tears|Arcing poison bombs. Enormous clear, constant self-damage risk.
COLLECTIBLE_TECHNOLOGY|Technology|1.55|1.15|0.30|1.00|0.00|laser,piercing|Continuous piercing laser. Reliable, unspectacular, always fine.
COLLECTIBLE_TECHNOLOGY_2|Technology 2|1.45|1.10|0.30|1.00|0.00|laser|Permanent thin laser alongside weakened tears. Great with multipliers.
COLLECTIBLE_TECH_5|Tech.5|1.60|1.20|0.30|1.00|0.00|laser|Free laser on top of an unchanged tear build. Pure addition.
COLLECTIBLE_SPIRIT_SWORD|Spirit Sword|1.85|1.30|0.00|1.15|0.00|melee,reflect,replaces_tears|Melee swing that reflects projectiles. Strong but demands close range.
COLLECTIBLE_C_SECTION|C Section|1.80|1.25|0.20|1.00|0.00|replaces_tears|Fetus wave with no travel time. Very high uptime damage.
